M,experiment,lowrpm-stop-battery-D-and-quantum-vs-tilt-Q
M,powder_id,salt
M,gear_ratio_stepper_per_auger,44/20=2.2
M,steps_per_auger_rev,3520
M,full_steps_rev,200
M,microsteps,8
M,stepper_direction,1
M,accel_rev_per_s2,4.0
M,cap_g,32.0
M,hard_g,38.0
M,tare_mode,no-hardware-tare-absolute-differences
M,auger_tare_g,56.716
M,tilt_D,55.0
M,rpms_D,5|10|15|25
M,reps_D,5
M,cruise_revs_D,3
M,halt_phase_deg,0.0
M,rpm_Q,10.0
M,incr_deg_Q,20.0
M,tilts_Q,15|35|55
M,n_scans_Q,2
M,flow_check,1rev@30rpm@55deg
M,tilt_D2,25.0
M,reps_D2,2
M,planned_D_trials,20
M,planned_Q_scans,6
M,planned_D2_trials,8
M,incr_per_scan_Q,18
E,1040,baseline (no tare) + 15 s static noise stream
D,84740,3,move,1.1350,U,10,7.0000,0.00
D,84932,3,move,1.1377,U,10,7.0000,0.00
D,85124,3,move,1.1383,U,10,7.0000,0.00
D,85316,3,move,1.1405,U,10,7.0000,0.00
D,85508,3,move,1.1427,U,10,7.0000,0.00
D,85700,3,move,1.1429,U,10,7.0000,0.00
D,85892,3,move,1.1423,U,10,7.0000,0.00
D,86084,3,move,1.1419,U,10,7.0000,0.00
D,86276,3,move,1.1425,U,10,7.0000,0.00
D,86468,3,move,1.1544,U,10,7.0000,0.00
D,86647,3,move,1.1694,U,10,7.0000,0.00
D,86839,3,move,1.1870,U,10,7.0000,0.00
D,87031,3,move,1.2075,U,10,7.0000,0.00
D,87223,3,move,1.2274,U,10,7.0000,0.00
D,87415,3,move,1.2418,U,10,7.0000,0.00
D,87607,3,move,1.2491,U,10,7.0000,0.00
D,87799,3,move,1.2612,U,10,7.0000,0.00
D,87991,3,move,1.2875,U,10,7.0000,0.00
D,88183,3,move,1.3137,U,10,7.0000,0.00
D,88375,3,move,1.3265,U,10,7.0000,0.00
D,88567,3,move,1.3247,U,10,7.0000,0.00
D,88759,3,move,1.3192,U,10,7.0000,0.00
D,88951,3,move,1.3196,U,10,7.0000,0.00
D,89143,3,move,1.3220,U,10,7.0000,0.00
D,89335,3,move,1.3270,U,10,7.0000,0.00
D,89527,3,move,1.3325,U,10,7.0000,0.00
D,89719,3,move,1.3342,U,10,7.0000,0.00
D,89911,3,move,1.3358,U,10,7.0000,0.00
D,90089,3,move,1.3359,U,10,7.0000,0.00
D,90281,3,move,1.3351,U,10,7.0000,0.00
D,90473,3,move,1.3344,U,10,7.0000,0.00
D,90665,3,move,1.3282,U,10,7.0000,0.00
D,90857,3,move,1.3269,U,10,7.0000,0.00
D,91049,3,move,1.3330,U,10,7.0000,0.00
D,91241,3,move,1.3373,U,10,7.0000,0.00
D,91433,3,move,1.3395,U,10,7.0000,0.00
