powder_id,run,t_ms,mass_g,frame,tilt_deg,auger_rpm_cmd,taps_cum,phase
salt,run1,38707,0.9408,S,25.0,14.88,2,dose
salt,run1,38803,0.9408,S,25.0,14.88,2,dose
salt,run1,38899,0.9408,S,25.0,14.88,2,dose
salt,run1,38994,0.9408,S,25.0,14.88,2,dose
salt,run1,39088,0.9408,S,25.0,14.88,2,dose
salt,run1,39184,0.9408,S,25.0,14.88,2,dose
salt,run1,39280,0.9408,S,25.0,14.88,2,dose
salt,run1,39376,0.9408,S,25.0,14.88,2,dose
salt,run1,39472,0.9408,S,25.0,14.88,2,dose
salt,run1,39568,0.9408,S,25.0,14.88,2,dose
salt,run1,39663,0.9408,S,25.0,14.88,2,dose
salt,run1,39759,0.9408,S,25.0,14.88,2,dose
salt,run1,39855,0.9408,S,25.0,14.88,2,dose
salt,run1,39951,0.9408,S,25.0,14.88,2,dose
salt,run1,40045,0.9408,S,25.0,14.88,2,dose
salt,run1,40141,0.9408,S,25.0,14.88,2,dose
salt,run1,40236,0.9408,S,25.0,14.88,2,dose
salt,run1,40332,0.9408,S,25.0,14.88,2,dose
salt,run1,40428,0.9408,S,25.0,14.88,2,dose
salt,run1,40524,0.9408,S,25.0,14.88,2,dose
salt,run1,40620,0.9408,S,25.0,14.88,2,dose
salt,run1,40716,0.9408,S,25.0,14.88,2,dose
salt,run1,40812,0.9408,S,25.0,14.88,2,dose
salt,run1,40906,0.9408,S,25.0,14.88,2,dose
salt,run1,41001,0.9408,S,25.0,14.88,2,dose
salt,run1,41097,0.9408,S,25.0,14.88,2,dose
salt,run1,41193,0.9408,S,25.0,14.88,2,dose
salt,run1,41299,0.9408,S,25.0,14.88,2,dose
salt,run1,41392,0.9408,S,25.0,14.88,2,dose
salt,run1,41486,0.9408,S,25.0,14.88,2,dose
salt,run1,41580,0.9408,S,25.0,14.88,2,dose
salt,run1,41674,0.9408,S,25.0,14.88,2,dose
salt,run1,41768,0.9408,S,25.0,14.88,2,dose
salt,run1,41862,0.9408,S,25.0,14.88,2,dose
salt,run1,41958,0.9408,S,25.0,14.88,2,dose
salt,run1,42054,0.9408,S,25.0,14.88,2,dose
salt,run1,42150,0.9408,S,25.0,14.88,2,dose
salt,run1,42245,0.9408,S,25.0,14.88,2,dose
salt,run1,42341,0.9408,S,25.0,14.88,2,dose
salt,run1,42437,0.9408,S,25.0,14.88,2,dose
salt,run1,42533,0.9408,S,25.0,14.88,2,dose
salt,run1,42627,0.9408,S,25.0,14.88,2,dose
salt,run1,42723,0.9408,S,25.0,14.88,2,dose
salt,run1,42818,0.9408,S,25.0,14.88,2,dose
salt,run1,42914,0.9408,S,25.0,14.88,2,dose
salt,run1,43010,0.9408,S,25.0,14.88,2,dose
salt,run1,43106,0.9408,S,25.0,14.88,2,dose
salt,run1,43583,0.9408,S,25.0,0.00,4,dose
salt,run1,43679,0.9408,S,25.0,14.88,4,dose
salt,run1,43775,0.9408,S,25.0,14.88,4,dose
salt,run1,43871,0.9408,S,25.0,14.88,4,dose
salt,run1,43967,0.9408,S,25.0,14.88,4,dose
salt,run1,44062,0.9408,S,25.0,14.88,4,dose
salt,run1,44158,0.9408,S,25.0,14.88,4,dose
salt,run1,44254,0.9408,S,25.0,14.88,4,dose
salt,run1,44350,0.9408,S,25.0,14.88,4,dose
salt,run1,44444,0.9408,S,25.0,14.88,4,dose
salt,run1,44540,0.9408,S,25.0,14.88,4,dose
salt,run1,44635,0.9408,S,25.0,14.88,4,dose
salt,run1,44731,0.9408,S,25.0,14.88,4,dose
salt,run1,44827,0.9408,S,25.0,14.88,4,dose
salt,run1,44923,0.9408,S,25.0,14.88,4,dose
salt,run1,45019,0.9408,S,25.0,14.88,4,dose
salt,run1,45115,0.9408,S,25.0,14.88,4,dose
salt,run1,45211,0.9408,S,25.0,14.88,4,dose
salt,run1,45305,0.9408,S,25.0,14.88,4,dose
salt,run1,45400,0.9408,S,25.0,14.88,4,dose
salt,run1,45496,0.9408,S,25.0,14.88,4,dose
salt,run1,45592,0.9408,S,25.0,14.88,4,dose
salt,run1,45688,0.9408,S,25.0,14.88,4,dose
salt,run1,45784,0.9408,S,25.0,14.88,4,dose
salt,run1,45879,0.9408,S,25.0,14.88,4,dose
salt,run1,45975,0.9408,S,25.0,14.88,4,dose
salt,run1,46071,0.9408,S,25.0,14.88,4,dose
